ID,Nombre,Categoría,Costo Material (S/),Tiempo (min),Descripción
AM01,Abejita (Amigurumi),Amigurumis,2.1,60,
AM02,Snoopy (Amigurumi),Amigurumis,2.25,60,
AM03,Shrek (Amigurumi),Amigurumis,2.25,60,
AM04,Pollito (Amigurumi),Amigurumis,2.25,60,
AM05,Cristiano (Amigurumi),Amigurumis,2.25,60,
CR01,Rosa Tejida (Crochet),Crochet,1.2,45,
CR02,Tulipán (Crochet),Crochet,0.8,30,
LP01,Tulipán 4 pétalos (Limpiapipas),Limpiapipas,0.4,15,
LP02,Tulipán 6 pétalos (Limpiapipas),Limpiapipas,0.5,20,
LP03,Girasol Pequeño (Limpiapipas),Limpiapipas,0.9,25,
LP04,Girasol Mediano (Limpiapipas),Limpiapipas,0.02,5,
LP05,Girasol Grande (Limpiapipas),Limpiapipas,0.02,5,
LP06,Snoopy (Limpiapipas),Limpiapipas,1.0,25,
LP07,Coneja (Limpiapipas),Limpiapipas,1.4,22,
LP08,Manzanilla (Limpiapipas),Limpiapipas,0.1,5,
LP09,Lirio (Limpiapipas),Limpiapipas,0.5,20,
INS01,Alambre,Empaque / Ensamble,0.2,0,
INS02,Base,Empaque / Ensamble,0.7,0,
INS03,Biruta,Empaque / Ensamble,1.2,0,
INS04,Blonda,Empaque / Ensamble,0.8,0,
INS05,Bolsa/Empaque,Empaque / Ensamble,2.0,0,
INS06,Brochetas,Empaque / Ensamble,0.04,0,
INS07,Caja,Empaque / Ensamble,5.0,0,
INS08,Cinta adhesiva,Empaque / Ensamble,0.5,0,
INS09,Cinta gruesa/grande,Empaque / Ensamble,0.5,0,
INS10,Cinta satinada,Empaque / Ensamble,0.5,0,
INS11,Cinta organza,Empaque / Ensamble,0.5,0,
INS12,Cinta de caja,Empaque / Ensamble,0.75,0,
INS13,Dulce,Empaque / Ensamble,2.0,0,
INS14,Floratei,Empaque / Ensamble,0.2,0,
INS15,Ganchito,Empaque / Ensamble,0.33,0,
INS16,Limpiapipas (Insumo),Empaque / Ensamble,0.05,0,
INS17,Perlitas,Empaque / Ensamble,0.06,0,
INS18,Papel Coreano,Empaque / Ensamble,0.4,0,
INS19,Papel Leche,Empaque / Ensamble,0.92,0,
INS20,Tarjeta dedicatoria,Empaque / Ensamble,0.56,0,
INS21,Tarjeta dulce,Empaque / Ensamble,0.56,0,
INS22,Tarjeta hang tag,Empaque / Ensamble,0.56,0,
INS23,Tarjeta mensaje,Empaque / Ensamble,0.56,0,
INS24,Uso,Empaque / Ensamble,0.5,0,
